Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331012864,2837189,,131485,,1191091,,1514613,15907,8571,397,35538123,107362,Americas
Brazil,South America,212566422,1501353,,61990,,916147,,523216,8318,7063,292,3290316,15479,Americas
Russia,Europe,145934960,661165,,9683,,428978,,222504,2300,4531,66,20451110,140139,Europe
India,Asia,1380048586,627168,,18225,,379902,,229041,8944,454,13,9297749,6737,South-EastAsia
Spain,Europe,46754922,297183,,28368,,,,,617,6356,607,5448984,116544,Europe
Peru,South America,32972385,292004,,10045,,182097,,99862,1220,8856,305,1720261,52173,Americas
Chile,South America,19116840,284541,,5920,,249247,,29374,2099,14884,310,1131008,59163,Americas
UK,Europe,67887996,283757,,43995,,,,,279,4180,648,9914663,146044,Europe
Italy,Europe,60461036,240961,,34818,,191083,,15060,82,3985,576,5498719,90946,Europe
Mexico,North America,128936700,238511,6741,29189,679,142593,4274,66729,378,1850,226,610495,4735,Americas
Iran,Asia,83994819,232863,,11106,,194098,,27659,3097,2772,132,1719451,20471,EasternMediterranean
Pakistan,Asia,220885011,221896,4087,4551,78,113623,8929,103722,2479,1005,21,1350773,6115,EasternMediterranean
Turkey,Asia,84341594,202284,,5167,,176965,,20152,1067,2398,61,3483677,41304,Europe
Saudi Arabia,Asia,34814036,197608,,1752,,137669,,58187,2287,5676,50,1727701,49627,EasternMediterranean
Germany,Europe,83785708,196717,,9064,,181000,700,6653,327,2348,108,5873563,70102,Europe
South Africa,Africa,59310064,168061,,2844,,81999,,83218,539,2834,48,1706127,28766,Africa
France,Europe,65274533,166378,,29875,,76802,,59701,573,2549,458,1384633,21212,Europe
Bangladesh,Asia,164694619,153277,,1926,,66442,,84909,1,931,12,805697,4892,South-EastAsia
Colombia,South America,50884429,106110,,3641,,44531,,57938,335,2085,72,798108,15685,Americas
Canada,North America,37743411,104772,,8642,,68347,,27783,2110,2776,229,2848244,75463,Americas
Qatar,Asia,2807805,97897,,118,,86597,,11182,187,34866,42,366095,130385,EasternMediterranean
Egypt,Africa,102331672,71299,,3120,,19288,,48891,41,697,30,135000,1319,EasternMediterranean
Sweden,Europe,10099585,70639,,5411,,,,,124,6994,536,519113,51399,Europe
Argentina,South America,45197263,69941,,1385,,24186,,44370,594,1547,31,372108,8233,Americas
Belarus,Europe,9449297,62698,,405,,48738,,13555,89,6635,43,1028349,108828,Europe
Belgium,Europe,11589926,61727,129,9765,4,17073,29,34889,35,5326,843,1270677,109636,Europe
Ecuador,South America,17643190,59468,,4639,,28032,,26797,288,3371,263,156185,8852,Americas
Indonesia,Asia,273531943,59394,,2987,,26667,,29740,,217,11,849155,3104,South-EastAsia
Iraq,Asia,40219503,53708,,2160,,27912,,23636,326,1335,54,567685,14115,EasternMediterranean
Netherlands,Europe,17135140,50335,,6113,,,,,28,2938,357,616376,35971,Europe
UAE,Asia,9890654,49469,,317,,38664,,10488,1,5002,32,3500000,353869,EasternMediterranean
Kuwait,Asia,4270616,47859,,359,,38390,,9110,142,11207,84,395349,92574,EasternMediterranean
Ukraine,Europe,43730851,46763,876,1212,27,20558,505,24993,105,1069,28,690953,15800,Europe
Singapore,Asia,5850538,44479,169,26,,39429,,5024,1,7603,4,757746,129517,WesternPacific
Kazakhstan,Asia,18777194,44075,1501,188,,26251,718,17636,121,2347,10,1555858,82859,Europe
Portugal,Europe,10196424,42782,,1587,,28097,,13098,77,4196,156,1205593,118237,Europe
Oman,Asia,5105987,42555,,188,,25318,,17049,114,8334,37,198994,38973,EasternMediterranean
Philippines,Asia,109583231,38805,,1274,,10673,,26858,170,354,12,754775,6888,WesternPacific
Bolivia,South America,11673229,35528,1301,1271,70,10358,594,23899,71,3044,109,79567,6816,Americas
Panama,North America,4314782,35237,,667,,16445,,18125,140,8167,155,135801,31473,Americas
Poland,Europe,37846250,35146,,1492,,22209,,11445,73,929,39,1569693,41476,Europe
Dominican Republic,North America,10848254,34197,,765,,18141,,15291,200,3152,71,154129,14208,Americas
Afghanistan,Asia,38925404,32022,,807,,16041,,15174,19,823,21,73515,1889,EasternMediterranean
Switzerland,Europe,8654909,31967,,1965,,29200,,802,15,3694,227,599105,69221,Europe
Bahrain,Asia,1700980,27837,,94,,22583,,5160,51,16365,55,574105,337514,EasternMediterranean
Romania,Europe,19236229,27746,,1687,,20433,,5626,237,1442,88,735221,38221,Europe
